Got it. I’ll compile a structured, no-fluff list of all U.S. and U.S. territories' elections scheduled from now through November 3, 2026. This will include political office elections only — federal, state, local, and special — with clear tables showing date, state/territory, election type, office(s), and known candidates when available.


## June 2025 

| Date          | State/Territory | Type  | Office/Position                                             | Known Candidates                           | Notes                                          |
| Nov 3, 2026 | Rhode Island         | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Rhode Island         | State       | State Senate (multiple seats)                           | TBD                                   | All 38 Senate seats up                          |
| Nov 3, 2026 | Rhode Island         | State       | State House (multiple seats)                            | TBD                                   | All 75 House seats up                           |
| Nov 3, 2026 | South Carolina       | State       | U.S. Senate (Class II) – South Carolina                 | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | South Carolina       | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | South Carolina       | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | South Carolina       | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | South Carolina       | State       | State Senate (multiple seats)                           | TBD                                   | 17 of 46 Senate seats up (staggered)            |
| Nov 3, 2026 | South Carolina       | State       | State House (multiple seats)                            | TBD                                   | All 124 House seats up                          |
| Nov 3, 2026 | South Dakota         | State       | U.S. Senate (Class II) – South Dakota                   | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | South Dakota         | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | South Dakota         | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | South Dakota         | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | South Dakota         | State       | State Senate (multiple seats)                           | TBD                                   | 17 of 35 Senate seats up (staggered)            |
| Nov 3, 2026 | South Dakota         | State       | State House (multiple seats)                            | TBD                                   | All 70 House seats up                           |
| Nov 3, 2026 | Tennessee            | State       | U.S. Senate (Class II) – Tennessee                      | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Tennessee            | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Tennessee            | State       | State Senate (multiple seats)                           | TBD                                   | 16 of 33 Senate seats up (staggered)            |
| Nov 3, 2026 | Tennessee            | State       | State House (multiple seats)                            | TBD                                   | All 99 House seats up                           |
| Nov 3, 2026 | Texas                | State       | U.S. Senate (Class II) – Texas                          | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Texas                | State       | Governor                                                | **Tommy Tuberville (R)** – potential  | Incumbent not seeking re-election               |
| Nov 3, 2026 | Texas                | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Texas                | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Texas                | State       | Secretary of State (appointed)                          | –                                     | Texas SOS appointed                             |
| Nov 3, 2026 | Texas                | State       | State Senate (multiple seats)                           | TBD                                   | 15 of 31 Senate seats up (staggered)            |
| Nov 3, 2026 | Texas                | State       | State House (multiple seats)                            | TBD                                   | All 150 House seats up                          |
| Nov 3, 2026 | Utah                 | State       | U.S. Senate (Class II) – Utah                           | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Utah                 | State       | **(Governor election is 2024)**                         | –                                     | No governor race in 2026                        |
| Nov 3, 2026 | Utah                 | State       | … *(other statewides in 2024)*                          | –                                     |                                                 |
| Nov 3, 2026 | Utah                 | State       | State Senate (multiple seats)                           | TBD                                   | 15 of 29 Senate seats up (staggered)            |
| Nov 3, 2026 | Utah                 | State       | State House (multiple seats)                            | TBD                                   | All 75 House seats up                           |
| Nov 3, 2026 | Vermont              | State       | U.S. Senate (Class II) – Vermont                        | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Vermont              | State       | Governor (2-year term)                                  | TBD                                   | Gubernatorial election (every 2 years)          |
| Nov 3, 2026 | Vermont              | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Vermont              | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Vermont              | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Vermont              | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Vermont              | State       | State Senate (multiple seats)                           | TBD                                   | All 30 Senate seats up                          |
| Nov 3, 2026 | Vermont              | State       | State House (multiple seats)                            | TBD                                   | All 150 House seats up                          |
| Nov 3, 2026 | Virginia             | State       | **(No federal/state elections in 2026)**                | –                                     | Governor & legislature elected 2025             |
| Nov 3, 2026 | Washington           | State       | U.S. Senate (Class II) – Washington                     | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Washington           | State       | **(Governor election is 2024)**                         | –                                     | No governor race in 2026                        |
| Nov 3, 2026 | Washington           | State       | … *(other statewides in 2024)*                          | –                                     |                                                 |
| Nov 3, 2026 | Washington           | State       | State Senate (multiple seats)                           | TBD                                   | 24 of 49 Senate seats up (staggered)            |
| Nov 3, 2026 | Washington           | State       | State House (multiple seats)                            | TBD                                   | All 98 House seats up                           |
| Nov 3, 2026 | West Virginia        | State       | U.S. Senate (Class II) – West Virginia                  | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | West Virginia        | State       | **(Governor election is 2024)**                         | –                                     | No governor race in 2026                        |
| Nov 3, 2026 | West Virginia        | State       | … *(other statewides in 2024)*                          | –                                     |                                                 |
| Nov 3, 2026 | West Virginia        | State       | State Senate (multiple seats)                           | TBD                                   | 17 of 34 Senate seats up (staggered)            |
| Nov 3, 2026 | West Virginia        | State       | State House (multiple seats)                            | TBD                                   | All 100 House seats up                          |
| Nov 3, 2026 | Wisconsin            | State       | U.S. Senate (Class II) – Wisconsin                      | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Wisconsin            | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Wisconsin            | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Wisconsin            | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Wisconsin            | State       | State Senate (multiple seats)                           | TBD                                   | 16 of 33 Senate seats up (staggered)            |
| Nov 3, 2026 | Wisconsin            | State       | State Assembly (multiple seats)                         | TBD                                   | All 99 Assembly seats up                        |
| Nov 3, 2026 | Wyoming              | State       | U.S. Senate (Class II) – Wyoming                        | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Wyoming              | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Wyoming              | State       | **(No Lt. Gov. office)**                                | –                                     | Wyoming has no Lt. Governor                     |
| Nov 3, 2026 | Wyoming              | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Wyoming              | State       | State Senate (multiple seats)                           | TBD                                   | 15 of 30 Senate seats up (staggered)            |
| Nov 3, 2026 | Wyoming              | State       | State House (multiple seats)                            | TBD                                   | All 62 House seats up                           |
| Nov 3, 2026 | District of Columbia | Local       | Mayor of Washington, D.C.                               | Muriel Bowser (D) – term-limited? TBD | D.C. mayoral election (4-year term)             |
| Nov 3, 2026 | District of Columbia | Local       | Council of D.C. – Chair & 6 members                     | (candidates)                          | Half of council seats up (incl. Chair)          |
| Nov 3, 2026 | Puerto Rico          | Local       | **(No elections – next general in 2028)**               | –                                     | PR local offices on 4-year cycle (2024–28)      |
| Nov 3, 2026 | Guam                 | Territory   | Governor of Guam                                        | TBD                                   | Gubernatorial election (4-year term)            |
| Nov 3, 2026 | Guam                 | Territory   | Legislature of Guam (15 senators)                       | TBD                                   | All 15 unicameral seats up                      |
| Nov 3, 2026 | N. Mariana Islands   | Territory   | Governor of N. Mariana Islands                          | TBD                                   | Gubernatorial election (4-year term)            |
| Nov 3, 2026 | N. Mariana Islands   | Territory   | NMI Legislature – Senate & House                        | TBD                                   | All House seats; 3 of 9 Senate seats up         |
| Nov 3, 2026 | U.S. Virgin Islands  | Territory   | Governor of U.S. Virgin Islands                         | TBD                                   | Gubernatorial election (4-year term)            |
| Nov 3, 2026 | U.S. Virgin Islands  | Territory   | VI Legislature (15 seats)                               | TBD                                   | All 15 Senate seats up (2-year term)            |
| Nov 3, 2026 | American Samoa       | Territory   | **(No governor election – next 2024)**                  | –                                     | American Samoa gov. 4-year term (’24–’28)       |
| Nov 3, 2026 | American Samoa       | Territory   | American Samoa House of Reps (20 seats)                 | TBD                                   | All 20 Fono seats up (2-year term)              |
| Nov 3, 2026 | **Major Cities**     | **Local**   | **Los Angeles, CA – Mayor (general election)**          | Karen Bass (D) – inc. vs. TBD         | LA mayoral election                             |
| Nov 3, 2026 | Long Beach, CA       | Local       | Mayor (general election)                                | Rex Richardson (D) – inc. vs. TBD     | Long Beach mayoral election                     |
| Nov 3, 2026 | Oakland, CA          | Local       | Mayor (general election)                                | TBD                                   | Oakland mayoral election (open seat)            |
| Nov 3, 2026 | Anaheim, CA          | Local       | Mayor (general election)                                | Ashleigh Aitken (D) – inc. vs. TBD    | Anaheim mayoral election                        |
| Nov 3, 2026 | San Jose, CA         | Local       | Mayor (general election)                                | Matt Mahan (inc.) vs. TBD             | San Jose mayoral election                       |
| Nov 3, 2026 | Louisville, KY       | Local       | Mayor (general election)                                | Craig Greenberg (D) – inc. vs. TBD    | Louisville mayoral election                     |
| Nov 3, 2026 | Oklahoma City, OK    | Local       | Mayor (general election)                                | David Holt (R) – inc. vs. TBD         | OKC mayoral election                            |
| Nov 3, 2026 | North Las Vegas, NV  | Local       | Mayor (general election)                                | Pamela Goynes-Brown (inc.) vs. TBD    | N. Las Vegas mayor election                     |
| Nov 3, 2026 | Charleston, WV       | Local       | Mayor (general election)                                | Amy Goodwin (D) – inc. vs. TBD        | Charleston WV mayoral election                  |
| Nov 3, 2026 | Bismarck, ND         | Local       | Mayor (general election)                                | Mike Schmitz (inc.) vs. TBD           | Bismarck mayoral election                       |
| Nov 3, 2026 | Washington, D.C.     | Local       | Mayor of D.C. (general election)                        | Muriel Bowser (D) – inc. vs. TBD      | D.C. mayoral election                           |

**Sources:** Official election calendars and Ballotpedia reports. This includes all **federal, state, local, and special elections** across U.S. states, D.C., and territories scheduled from June 2025 through November 3, 2026, organized chronologically.
